model,k_factor,history_size,rider,premium,strike,expected_price,spend,overrun,profit,pct_return,premium_over_price
trip-specific,1,2,17,24.2901232442942,21.8546663116368,21.8546663116368,718.243377486556,74.567799974117,-50.2776767298228,-7.00008914885734,3.38187917990916
trip-specific,1,2,18,18.2296473868203,15.9942580634992,15.9942580634992,481.237943095987,11.9306130496909,6.29903433712946,1.30892304472199,3.78807358155137
trip-specific,1,2,19,20.9350383330221,10.519253465261,10.519253465261,309.288496132862,12.4161569845192,8.51888134850285,2.75434794860374,6.76877368372245
trip-specific,1,2,20,17.4944261561267,17.4434491344122,17.4434491344122,567.768833471208,47.6246216656389,-30.1301955095122,-5.30677165305166,3.08125862583365
trip-specific,1,2,21,21.0881872431041,21.1164273241227,21.1164273241227,585.493177488831,0,21.0881872431041,3.60178189155865,3.60178189155865
trip-specific,1,2,22,24.7760409785349,22.1082222973417,22.1082222973417,655.54373244801,12.6580117122083,12.1180292663266,1.84854627792321,3.77946424504941
trip-specific,1,2,23,26.4502322797406,32.5090599199003,32.5090599199003,960.8268072974,13.5126415668219,12.9375907129187,1.34650601072522,2.75286160615558
trip-specific,1,2,24,18.2982857469349,19.4085443035976,19.4085443035976,586.460593688136,14.1454346784627,4.15285106847213,0.708121076363487,3.12012195599717
trip-specific,1,2,25,21.5327412918324,24.9596520852177,24.9596520852177,759.395733720482,24.1619816342452,-2.62924034241286,-0.346227958054427,2.83550991079944
trip-specific,1,2,26,17.8337417039538,18.2313686847666,18.2313686847666,560.820656326652,17.7757187848397,0.058022919114137,0.0103460738222776,3.179936670087
trip-specific,1,2,27,26.7526001695372,21.7703805878397,21.7703805878397,687.401299543805,47.1537286413651,-20.401128471828,-2.96786294779588,3.89184602753757
trip-specific,1,2,28,25.5056696428545,29.3810131697054,29.3810131697054,813.924885882353,1.65732089208247,23.848348750772,2.93004295168082,3.13366381655778
trip-specific,1,2,29,15.4096671602926,10.5005722671822,10.5005722671822,315.695175434064,12.4304899251767,2.97917723511588,0.943687920165287,4.8811855103915
trip-specific,1,2,30,36.9745842430744,38.9566820984863,38.9566820984863,1138.36988693696,14.7427658588862,22.2318183841882,1.95295207992613,3.24802901652315
trip-specific,1,2,31,27.6641260489632,25.9019113116247,25.9019113116247,806.307274759688,48.4601161206646,-20.7959900717014,-2.57916438592216,3.43096570190418
trip-specific,1,2,32,21.7582252360151,17.4596415473541,17.4596415473541,555.641873345395,36.0813779466949,-14.3231527106798,-2.57776697505595,3.91587212551382
trip-specific,1,2,33,18.9999177097357,23.3328832070114,23.3328832070114,694.487239194546,15.5314501269511,3.46846758278465,0.4994285549159,2.73581955685341
trip-specific,1,2,34,18.8410827976446,21.056604854817,21.056604854817,651.308065715851,28.6019455957591,-9.76086279811452,-1.49865529262045,2.89280661324782
trip-specific,1,2,35,28.9028357200456,24.4142059212449,24.4142059212449,735.30739548099,23.539396030371,5.36343968967457,0.729414626132811,3.93071467765386
trip-specific,1,2,36,33.953461403949,47.9347451459383,47.9347451459383,1448.03037960001,21.6315955184549,12.3218658854941,0.850939735732466,2.34480311202642
trip-specific,1,2,37,23.4316491415092,22.3707562596124,22.3707562596124,701.133393370052,43.6846011038018,-20.2529519622926,-2.8886018201109,3.3419673578637
trip-specific,1,2,38,30.8451799025925,22.8578975103477,22.8578975103477,632.411097334958,3.60115847189027,27.2440214307022,4.30796068340849,4.87739383963645
trip-specific,1,2,39,15.7536252304447,16.8370306822307,16.8370306822307,493.789243461012,6.76430913796365,8.98931609248107,1.82047628852224,3.19035407090405
trip-specific,1,2,40,20.2003817377406,15.0918781001467,15.0918781001467,452.154370808312,10.7327704170057,9.46761132073483,2.09388915201896,4.46758519698229
trip-specific,1,2,41,29.5784042110495,22.9852020574282,22.9852020574282,667.335355410812,6.46040650290907,23.1179977081404,3.46422492390036,4.43231487305824
trip-specific,1,2,42,30.8015888308824,31.7153893245389,31.7153893245389,1013.95200037864,62.8605538976257,-32.0589650667433,-3.16178330480847,3.0377758335089
trip-specific,1,2,43,18.2230210683001,26.270334885652,26.270334885652,784.514156607704,10.033518146651,8.18950292164908,1.04389485551938,2.3228415847966
