model,strike,h,lambda,k,u,n_members,mean_profit,se_profit,mean_loss_ratio,se_loss_ratio,pooled_loss_ratio,median_loss_ratio
population,0.9,8,0.9,28,0.933333333333333,100,23.906007200061,6.35885286875932,0.75093928087145,0.0840068581222456,0.707297645418242,0.548788774119262
population,0.9,8,0.9,29,0.966666666666667,100,23.2751673395056,6.50047208223408,0.758989856127514,0.0861351658689307,0.715021574847499,0.548997867289773
population,0.9,8,0.9,30,1,100,22.8480651185619,6.61171286883785,0.764695347725114,0.0880648465361452,0.720250964459538,0.550334236937773
population,0.9,8,1,0,0,100,81.6734366015615,3.2041127306192,0,0,0,0
population,0.9,8,1,1,0.0333333333333333,100,76.013028462743,3.08356954771084,0.0727394443685528,0.00490339592636042,0.0693053748482809,0.0617664588069706
population,0.9,8,1,2,0.0666666666666667,100,71.68852353393,3.05606616248101,0.12983004658831,0.00856183322608237,0.122254107125947,0.113404007903278
population,0.9,8,1,3,0.1,100,67.8529753547391,3.04961552169661,0.180010544228153,0.012097919286305,0.169216110180898,0.157567378319894
population,0.9,8,1,4,0.133333333333333,100,64.3575602109328,3.06887791484312,0.225494267063623,0.0155898353747127,0.212013564154317,0.193756661328845
population,0.9,8,1,5,0.166666666666667,100,61.1478215599582,3.11816625609413,0.267416145815931,0.0189976931126322,0.251313228580501,0.228274951573438
population,0.9,8,1,6,0.2,100,58.1285318038669,3.1882289567498,0.306768974950793,0.0223746312368596,0.288281059024819,0.265628903963062
population,0.9,8,1,7,0.233333333333333,100,55.3406142770813,3.27556722431016,0.343147721118472,0.02567174970207,0.322415994969615,0.294772821873587
population,0.9,8,1,8,0.266666666666667,100,52.7313505880946,3.3759485357489,0.377224981867713,0.02890272637491,0.354363514231181,0.316249211883999
population,0.9,8,1,9,0.3,100,50.2552153935999,3.49074622200753,0.409625434057309,0.0321087279968546,0.384681023785412,0.339513559410101
population,0.9,8,1,10,0.333333333333333,100,47.932567627091,3.61465607123071,0.439903544959213,0.0352637267425122,0.413119251233092,0.365615145392532
population,0.9,8,1,11,0.366666666666667,100,45.7359528295467,3.74901795840413,0.468580008928656,0.0384014412617697,0.440014345757648,0.389836432468005
population,0.9,8,1,12,0.4,100,43.6495264516216,3.89089557105999,0.495731712716087,0.0414809385144108,0.465560306167071,0.41355154903998
population,0.9,8,1,13,0.433333333333333,100,41.6935548195244,4.03760401983222,0.521097485985615,0.0444848193416637,0.489508993934911,0.435505559548868
population,0.9,8,1,14,0.466666666666667,100,39.8439124044834,4.19117395413651,0.545054056333983,0.0474739413949798,0.512155799212181,0.450603946684147
population,0.9,8,1,15,0.5,100,38.110624034258,4.34759435544076,0.567462360325424,0.0504215293138365,0.53337797918094,0.460747437614715
population,0.9,8,1,16,0.533333333333333,100,36.463088616295,4.50555955278747,0.588719042164726,0.0533072063357288,0.55355021003735,0.475738327713584
population,0.9,8,1,17,0.566666666666667,100,34.9201163278774,4.66718883255758,0.608622331894395,0.0561585603335883,0.572442182171997,0.495332834137195
population,0.9,8,1,18,0.6,100,33.4629283078607,4.83070057076365,0.627473143864534,0.0589623027383579,0.590283821763159,0.513455673910657
population,0.9,8,1,19,0.633333333333333,100,32.0992762281684,4.99698616492484,0.645108571339002,0.0617392747951601,0.606980218246936,0.527762227920114
population,0.9,8,1,20,0.666666666666667,100,30.8245228460259,5.1633346042471,0.661522711823415,0.0644722743305226,0.622588149481191,0.534311151076445
population,0.9,8,1,21,0.7,100,29.6391179153029,5.32668964995816,0.676737444854661,0.0671420643957192,0.637102108732176,0.540338144280454
population,0.9,8,1,22,0.733333333333333,100,28.5402571605433,5.48783741175871,0.690862841552468,0.0697598679508442,0.650556431220409,0.542020665185169
population,0.9,8,1,23,0.766666666666667,100,27.5306772964575,5.64525876572408,0.703818145097802,0.0723112994071426,0.662917608931235,0.544721514708867
population,0.9,8,1,24,0.8,100,26.5948548242026,5.80087848495375,0.715793821445948,0.0748285738421509,0.674375709767867,0.546935640055376
population,0.9,8,1,25,0.833333333333333,100,25.7585162967798,5.95171084769399,0.726584433459832,0.077277732236091,0.68461574082598,0.548272009703376
population,0.9,8,1,26,0.866666666666667,100,24.9936849728668,6.09959614899511,0.736512058303655,0.07967598556777,0.693980246052375,0.549399604443221
population,0.9,8,1,27,0.9,100,24.3042807398318,6.24531645119868,0.745474625347454,0.0820259014069803,0.702421230804837,0.550125143767262
population,0.9,8,1,28,0.933333333333333,100,23.7135288096621,6.38003973145601,0.753146364968159,0.0841684428252525,0.709654328305701,0.550334236937773
population,0.9,8,1,29,0.966666666666667,100,23.2159398021895,6.50447224242196,0.759740572534524,0.0862066880651145,0.715746749883357,0.550334236937773
population,0.9,8,1,30,1,100,22.8480651185619,6.61171286883786,0.764695347725114,0.0880648465361453,0.720250964459538,0.550334236937773
population,1,8,0,0,0,100,34.1335024874128,0.858151539735388,0,0,0,0
population,1,8,0,1,0.0333333333333333,100,32.9035012385474,0.922469750766965,0.0372511336005683,0.0100647900867154,0.036035014259643,0
population,1,8,0,2,0.0666666666666667,100,32.2053842592087,0.987761676559235,0.0607132130053401,0.0149546695406857,0.0564875587823191,0
population,1,8,0,3,0.1,100,31.4246278249902,1.07635607200375,0.0846045647626917,0.020078837461163,0.0793611690866337,0.000458473755350811
population,1,8,0,4,0.133333333333333,100,30.6946009307566,1.15816607363631,0.107737129223814,0.0240695073669123,0.100748569764395,0.0166392683354293
population,1,8,0,5,0.166666666666667,100,29.9371618073553,1.25543316215952,0.132145857800526,0.0286737356204719,0.122939059113695,0.0204205123455453
population,1,8,0,6,0.2,100,29.3180154351454,1.35739731519845,0.153393214316768,0.0334884343986166,0.141078023096025,0.0325285504022151
population,1,8,0,7,0.233333333333333,100,28.365661698181,1.50144917526576,0.185473467395494,0.0391593091234662,0.168978873215803,0.0461556947207123
population,1,8,0,8,0.266666666666667,100,27.654646704861,1.59997030803571,0.207791517893607,0.0430795125033294,0.189809287369233,0.0542759091168681
population,1,8,0,9,0.3,100,26.9939777805784,1.72927389698885,0.22898625295467,0.0488535213822582,0.209164726340849,0.0573209978606871
